name,pl_orbsmax
d1,0.1101
d2,0.0932
d3,0.0202
d4,0.0632
d5,0.0149
d6,0.1949
d7,0.08
d8,0
d9,0.0337
d10,0.6448
d11,0.1668
d12,0
d13,0.0761
d14,0.1185
d15,0.0957
d16,0.0733
d17,0.0497
d18,0.076
d19,0.6375
d20,0
d21,0.0241
d22,0.138
d23,0.0329
d24,0.4792
d25,0.167
d26,0.2129
d27,0.098
d28,0.0306
d29,0.0812
d30,0.3305
d31,0.0974
d32,0.13
d33,0.0948
d34,0.042
d35,0.2967
d36,0.07
d37,0.0346
d38,1.164
d39,0
d40,0.0474
d41,0.389
d42,0.0651
d43,0.06
d44,0.0747
d45,0.1899
d46,0.2829
d47,0.326
d48,2.6
d49,0.075
d50,0
d51,0
d52,0.1218
d53,0
d54,0.1476
d55,0.0439
d56,0.0907
d57,0.042
d58,0.0631
d59,0.0774
d60,0.011548
d61,0.122
d62,0
d63,0.06
d64,0.5874
d65,0.0926
d66,2.3
d67,0.0554
d68,0.2267
d69,0.311
d70,0.293
d71,0.1761
d72,0.0313
d73,0.0777
d74,0.22
d75,0.1654
d76,0.6085
d77,0.0973
d78,0.652
d79,0.0767
d80,0.05387
d81,0.0346
d82,0
d83,0
d84,0.3685
d85,0.2447
d86,0.1668
d87,0.0485
d88,0.1336
d89,0.83
d90,4.6
d91,0.1162
d92,0.1804
d93,0.0561
d94,0.125
d95,0.0914
d96,0.5407
d97,0.178
d98,0
d99,0.1043
d100,0.0361
d101,0
d102,0.0594
d103,0.0393
d104,0
d105,0.0985
d106,0.353
d107,0
d108,0
d109,0
d110,0.1194
d111,0.4932
d112,0.1366
d113,0.1155
d114,0.0989
d115,0
d116,0.1163
d117,0.0331
d118,0.071
d119,0.4471
d120,0.2648
d121,0.363
d122,0.26
d123,0.0777
d124,0.028
d125,0.065
d126,0.1081
d127,0.0685
d128,0.1239
d129,0
d130,0.0307
d131,0.03767
d132,0.3411
d133,0.0581
d134,0.0827
d135,0.2079
d136,0.1596
d137,0
d138,0.1211
d139,0.1422
d140,0.1858
d141,0.041
d142,0.1121
d143,0.2227
d144,0.0579
d145,0.0389
d146,0.2237
d147,0.0486
d148,0.0395
d149,0.075
d150,0
d151,0.0465
d152,1.08
d153,0.2632
d154,0.029
d155,0.05023
